work_year,job_title,job_category,salary_in_usd,experience_level,work_setting,company_location,company_size
2023,Data Architect,Data Architecture and Modeling,186000,Senior,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,81800,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,212000,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,93300,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,130000,Senior,Remote,United States,M
2023,Data Scientist,Data Science and Research,100000,Senior,Remote,United States,M
2023,Machine Learning Researcher,Machine Learning and AI,224400,Mid-level,In-person,United States,M
2023,Machine Learning Researcher,Machine Learning and AI,138700,Mid-level,In-person,United States,M
2023,Data Engineer,Data Engineering,210000,Executive,Remote,United States,M
2023,Data Engineer,Data Engineering,168000,Executive,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,224400,Senior,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,138700,Senior,In-person,United States,M
2023,Data Analyst,Data Analysis,95000,Entry-level,In-person,United States,M
2023,Data Analyst,Data Analysis,75000,Entry-level,In-person,United States,M
2023,Data Scientist,Data Science and Research,300000,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,234000,Senior,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,140000,Mid-level,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,120000,Mid-level,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,204500,Mid-level,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,142200,Mid-level,In-person,United States,M
2023,Data Analyst,Data Analysis,155000,Mid-level,In-person,United States,M
2023,Data Analyst,Data Analysis,110000,Mid-level,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,266500,Senior,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,152000,Senior,In-person,United States,M
2023,Applied Scientist,Data Science and Research,222200,Mid-level,In-person,United States,L
2023,Applied Scientist,Data Science and Research,136000,Mid-level,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,273400,Senior,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,182200,Senior,In-person,United States,M
2023,BI Developer,BI and Visualization,167500,Senior,In-person,United States,M
2023,BI Developer,BI and Visualization,106500,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,185900,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,129300,Senior,In-person,United States,M
2023,Business Intelligence Engineer,BI and Visualization,185000,Mid-level,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,79600,Mid-level,In-person,United States,L
2023,Data Engineer,Data Engineering,122000,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,94500,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,247300,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,139700,Senior,In-person,United States,M
2023,Data Analyst,Data Analysis,176000,Senior,In-person,United States,M
2023,Data Analyst,Data Analysis,100000,Senior,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,204500,Senior,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,142200,Senior,In-person,United States,M
2023,Research Scientist,Data Science and Research,247600,Senior,In-person,United States,L
2023,Research Scientist,Data Science and Research,127300,Senior,In-person,United States,L
2023,Data Scientist,Data Science and Research,223400,Senior,Remote,United States,M
2023,Data Scientist,Data Science and Research,186200,Senior,Remote,United States,M
2023,Data Engineer,Data Engineering,167500,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,106500,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,185900,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,129300,Senior,In-person,United States,M
2023,Research Analyst,Data Science and Research,72000,Entry-level,Remote,United States,M
2023,Research Analyst,Data Science and Research,64000,Entry-level,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,179820,Senior,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,143860,Senior,In-person,United States,M
2023,Research Scientist,Data Science and Research,283050,Senior,In-person,United States,M
2023,Research Scientist,Data Science and Research,188700,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,133000,Mid-level,In-person,United States,M
2023,Data Engineer,Data Engineering,58400,Mid-level,In-person,United States,M
2023,Research Engineer,Data Science and Research,141298,Senior,In-person,United States,M
2023,Research Engineer,Data Science and Research,115607,Senior,In-person,United States,M
2023,Data Analyst,Data Analysis,100000,Entry-level,In-person,United States,M
2023,Data Analyst,Data Analysis,75000,Entry-level,In-person,United States,M
2023,Research Scientist,Data Science and Research,287500,Senior,In-person,United States,M
2023,Research Scientist,Data Science and Research,156000,Senior,In-person,United States,M
2023,Data Analyst,Data Analysis,90000,Mid-level,Remote,United States,M
2023,Data Analyst,Data Analysis,70000,Mid-level,Remote,United States,M
2023,Data Engineer,Data Engineering,199000,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,162000,Senior,In-person,United States,M
2023,Data Engineer,Data Engineering,170884,Mid-level,Remote,United States,M
2023,Data Engineer,Data Engineering,113923,Mid-level,Remote,United States,M
2023,Data Engineer,Data Engineering,184000,Mid-level,In-person,United States,M
2023,Data Engineer,Data Engineering,123000,Mid-level,In-person,United States,M
2023,Data Scientist,Data Science and Research,235750,Senior,In-person,United States,M
2023,Data Scientist,Data Science and Research,174250,Senior,In-person,United States,M
2023,Research Scientist,Data Science and Research,165000,Mid-level,Remote,United States,M
2023,Research Scientist,Data Science and Research,118800,Mid-level,Remote,United States,M
2023,Data Engineer,Data Engineering,225000,Senior,Remote,United States,M
2023,Data Engineer,Data Engineering,150000,Senior,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,213900,Mid-level,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,116800,Mid-level,In-person,United States,M
2023,Data Scientist,Data Science and Research,220000,Senior,Remote,United States,M
